route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
TB40,A,Д1,Бул. Братя Бъкстон - Ж.К. ГОЦЕ ДЕЛЧЕВ - Бул. Братя Бъкстон,,11,,27AAE1,FFFFFF,,,
A167,A,294,НСБАЛ ПО ОНКОЛОГИЯ - СТУДЕНТСКИ ГРАД - НСБАЛ ПО ОНКОЛОГИЯ,,3,,BE1E2D,FFFFFF,,,
A34,A,117,АВТОСТАНЦИЯ ИЗТОК - ГРАД БУХОВО - АВТОСТАНЦИЯ ИЗТОК,,3,,BE1E2D,FFFFFF,,,
A168,A,7TM,НИМ - БУЛ. ЧЕРНИ ВРЪХ - НИМ,,3,,BE1E2D,FFFFFF,,,
A205,A,505,ПЛ. ОРЛОВ МОСТ - Парк музей Врана - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
A217,A,304,НИМ-ВРЕМЕННА - Ж.К. ДРУЖБА-2 - НИМ-ВРЕМЕННА,,3,,BE1E2D,FFFFFF,,,
TM28,A,3,КВ. ОРЛАНДОВЦИ - Ул. Цар Симеон - КВ. ОРЛАНДОВЦИ,,0,,F7941D,FFFFFF,,,
A41,A,18,АВТОСТАНЦИЯ ОРЛАНДОВЦИ - МЕЛНИЦАТА ЧЕПИНЦИ - АВТОСТАНЦИЯ ОРЛАНДОВЦИ,,3,,BE1E2D,FFFFFF,,,
A193,A,47,КВ. ГРАДОМАН - АВТОСТАНЦИЯ БАНКЯ - КВ. ГРАДОМАН,,3,,BE1E2D,FFFFFF,,,
A31,A,44,АВТОСТАНЦИЯ БАНКЯ - КВ. ИВАНЯНЕ - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
A87,A,305,ЦЕНТРАЛНА ГАРА - КУЛИНАРЕН К-Т ПЕЙФИЛ - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
TB27,A,1А,Кино Одеон - ВМА - Кино Одеон,,11,,27AAE1,FFFFFF,,,
A70,A,5,ШКОЛА БЧК - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ШКОЛА БЧК,,3,,BE1E2D,FFFFFF,,,
TB10,A,1,Ж.К. БОРОВО - УЛ. ВИТИНЯ - Ж.К. БОРОВО,,11,,27AAE1,FFFFFF,,,
A96,A,90А,АВТОСТАНЦИЯ ИЗТОК - АП МАЛАШЕВЦИ - АВТОСТАНЦИЯ ИЗТОК,,3,,BE1E2D,FFFFFF,,,
A74,A,8,СЕЛО ГЕРМАН - СЕЛО КРИВИНА - СЕЛО ГЕРМАН,,3,,BE1E2D,FFFFFF,,,
TB30,A,7А,Ж.К. ЛЮЛИН-3 - УХО - Ж.К. ЛЮЛИН-3,,11,,27AAE1,FFFFFF,,,
A248,A,19,Кв. Обеля - Ж.к. Обеля 1 - Кв. Обеля,,3,,BE1E2D,FFFFFF,,,
TM55,A,27,Пл. Македония - КВ. МАНАСТИРСКИ ЛИВАДИ-ЗАПАД - Пл. Македония,,0,,F7941D,FFFFFF,,,
A110,A,90,АП Малашевци - Град Бухово - АП Малашевци,,3,,BE1E2D,FFFFFF,,,
A44,A,101,ЦЕНТРАЛНА ГАРА - ФОНДОВИ ЖИЛИЩА - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A202,A,12Т,ГАРА СОФИЯ СЕВЕР - Автостанция Илиянци - ГАРА СОФИЯ СЕВЕР,,3,,BE1E2D,FFFFFF,,,
TB3,A,5,Ж.К. МЛАДОСТ 2 - УЛ. ВИШОВГРАД - Ж.К. МЛАДОСТ 2,,11,,27AAE1,FFFFFF,,,
A101,A,42,АВТОСТАНЦИЯ БАНКЯ - Ж.К. ЛЮЛИН-8 - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
A252,A,X9,Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ,,3,,BE1E2D,FFFFFF,,,
A26,A,108,ж.к. Люлин -5 - Хюндай България - ж.к. Люлин -5,,3,,BE1E2D,FFFFFF,,,
A100,A,404,ЦЕНТРАЛНА ГАРА - АП ДРУЖБА - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A78,A,69,ЦАРЕВА МАХАЛА - НСБАЛ ПО ОНКОЛОГИЯ - ЦАРЕВА МАХАЛА,,3,,BE1E2D,FFFFFF,,,
A68,A,3,ПЛОЩАД  НА АВИАЦИЯТА - СЕЛО ДОЛНИ ПАСАРЕЛ - ПЛОЩАД  НА АВИАЦИЯТА,,3,,BE1E2D,FFFFFF,,,
A90,A,413,ГАРА СОФИЯ СЕВЕР - ТЕХНОПОЛИС Ж.К. МЛАДОСТ-4 - ГАРА СОФИЯ СЕВЕР,,3,,BE1E2D,FFFFFF,,,
A99,A,84,ВОЕННА АКАДЕМИЯ - РАЗКЛОНА ЗА ЛЕТИЩЕТО - ВОЕННА АКАДЕМИЯ,,3,,BE1E2D,FFFFFF,,,
A104,A,27,МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА - СЕЛО КЪТИНА - МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА,,3,,BE1E2D,FFFFFF,,,
A38,A,12,Автостанция Изток - Село Долни Богров - Автостанция Изток,,3,,BE1E2D,FFFFFF,,,
A121,A,8TM,ПЛ. ВЪЗРАЖДАНЕ - Ж.К. ЗАПАДЕН ПАРК - ПЛ. ВЪЗРАЖДАНЕ,,3,,BE1E2D,FFFFFF,,,
A77,A,67,КВ. СИМЕОНОВО - СЕМИНАРИЯТА - КВ. СИМЕОНОВО,,3,,BE1E2D,FFFFFF,,,
A50,A,29,Хюндай България - СЕЛО БАЛША - Хюндай България,,3,,BE1E2D,FFFFFF,,,
A36,A,119,МК КРЕМИКОВЦИ - АВТОСТАНЦИЯ ИЗТОК - МК КРЕМИКОВЦИ,,3,,BE1E2D,FFFFFF,,,
A227,A,N4,ПЛ. КНЯЗ АЛЕКСАНДЪР І - Ж.К. ГОЦЕ ДЕЛЧЕВ - ПЛ. КНЯЗ АЛЕКСАНДЪР І,,3,,000000,FFFFFF,,,
TM56,A,21,Ж.К. ГЕО МИЛЕВ - ПЛ. ВАСИЛ ЛЕВСКИ - Ж.К. ГЕО МИЛЕВ,,0,,F7941D,FFFFFF,,,
A200,A,314,Ж.К. МЛАДОСТ 1 - Село Бистрица - Ж.К. МЛАДОСТ 1,,3,,BE1E2D,FFFFFF,,,
TB9,A,2,ж.к. Бъкстон - Ул. Ген. Гурко - ж.к. Бъкстон,,11,,27AAE1,FFFFFF,,,
A85,A,213,Ж.К. МЛАДОСТ 4 - ПЛОЩАД ЦЕНТРАЛНА ГАРА - Ж.К. МЛАДОСТ 4,,3,,BE1E2D,FFFFFF,,,
A48,A,26,Ж.К. ОБЕЛЯ 1 - С. Мировяне - Ж.К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
A82,A,88,ЗООПАРКА - Ж.К. ДРУЖБА-2 - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
TB39,A,73,Ж.К. МЛАДОСТ 2 - Бл. 41 ж.к. Младост 1 - Ж.К. МЛАДОСТ 2,,11,,27AAE1,FFFFFF,,,
TB42,A,22T,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
A29,A,107,КВ. КАРПУЗИЦА - Боянска църква - КВ. КАРПУЗИЦА,,3,,BE1E2D,FFFFFF,,,
TB38,A,12T,АВТОСТАНЦИЯ ИЛИЯНЦИ - Бул. Княгиня Мария Луиза - АВТОСТАНЦИЯ ИЛИЯНЦИ,,11,,27AAE1,FFFFFF,,,
TM32,A,6,Ж.К. ОБЕЛЯ-2 - Ул. Пиротска - Ж.К. ОБЕЛЯ-2,,0,,F7941D,FFFFFF,,,
A80,A,75,ПЛ. ОРЛОВ МОСТ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
A57,A,94,СТУДЕНТСКИ ГРАД - КИНО ОДЕОН - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
A109,A,30,Ж.К. ОБЕЛЯ 1 - СЕЛО БАЛША - Ж.К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
TB25,A,84,УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2 - УЛ. ГЕН. ГУРКО,,11,,27AAE1,FFFFFF,,,
A254,A,803,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - ВЗ. ЛЮЛИН - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A52,A,78,УЛ. ВАСИЛ КЪНЧЕВ - ПЛОЩАДА КВ. ВРАЖДЕБНА - УЛ. ВАСИЛ КЪНЧЕВ,,3,,BE1E2D,FFFFFF,,,
TB1,A,4,ж.к. Хаджи Димитър - Ж.К. ДРУЖБА-2 - ж.к. Хаджи Димитър,,11,,27AAE1,FFFFFF,,,
A46,A,24,Манастир Св.Мина - Станция Орландовци - Манастир Св.Мина,,3,,BE1E2D,FFFFFF,,,
A75,A,10,КВ. Д. МИЛЕНКОВ - Кв.Бусманци - КВ. Д. МИЛЕНКОВ,,3,,BE1E2D,FFFFFF,,,
